strain_name,sample_count,Percentage
B.1.389,876,0.02101003588974624
B.1.1.70,872,0.02091409965280676
AY.46.2,870,0.02086613153433702
B.1.1.63,862,0.020674259060458056
B.1.177.5,854,0.020482386586579096
AY.4.2.5,850,0.020386450349639616
AY.106,849,0.020362466290404745
B.1.1.416,830,0.019906769164942214
AY.105,816,0.01957099233565403
B.1.177.58,813,0.019499040157949423
B.1.177.9,812,0.01947505609871455
B.1.1.198,812,0.01947505609871455
B.1.1.301,804,0.019283183624835592
B.1.588,795,0.019067327091721757
B.1.375,787,0.018875454617842798
B.1.160.30,784,0.018803502440138186
W.4,779,0.018683582143963838
AY.134,778,0.018659598084728966
B.1.177.69,778,0.018659598084728966
B.1.391,775,0.018587645907024355
AY.74,766,0.018371789373910524
AY.4.14,755,0.018107964722326952
B.1.568,753,0.018059996603857213
AY.3.3,752,0.01803601254462234
B.1.139,749,0.017964060366917733
B.1.509,747,0.01791609224844799
B.1.564,746,0.01789210818921312
AY.116,744,0.01784414007074338
B.1.177.19,730,0.0175083632414552
AY.101,730,0.0175083632414552
B.1.349,730,0.0175083632414552
B.1.371,724,0.01736445888604598
B.1.551,718,0.01722055453063676
B.1.177.20,714,0.017124618293697276
B.3,710,0.017028682056757796
AY.11,709,0.017004697997522925
B.1.36,696,0.016692905227469614
B.1.409,696,0.016692905227469614
B.1.126,691,0.016572984931295262
AY.92,679,0.016285176220476823
B.1.1.207,674,0.01616525592430247
B.1.1.10,667,0.01599736750965838
AP.1,654,0.01568557473960507
AY.60,627,0.015038005140263577
AY.43.9,626,0.015014021081028705
B.1.361,620,0.014870116725619484
AY.91,617,0.014798164547914874
B.3.1,614,0.014726212370210262
AY.7.2,612,0.014678244251740524
B.1.324,607,0.014558323955566173
B.1.1.464,603,0.014462387718626693
B.1.177.62,599,0.01436645148168721
AY.98.1.1,591,0.01417457900780825
B.33,591,0.01417457900780825
B.1.1.269,579,0.01388677029698981
C.30,570,0.013670913763875978
AY.58,569,0.013646929704641108
B.1.1.51,547,0.013119280401473964
B.1.1.25,546,0.013095296342239096
B.1.1.289,545,0.013071312283004224
B.1.177.43,544,0.013047328223769354
B.1.258.7,539,0.012927407927595003
B.1.177.30,533,0.012783503572185781
AY.81,533,0.012783503572185781
AZ.3,528,0.012663583276011432
B.1.1.348,528,0.012663583276011432
B.1.222,514,0.012327806446723249
AY.88,508,0.01218390209131403
AY.122.4,507,0.01215991803207916
B.1.239,507,0.01215991803207916
B.1.160.7,498,0.011944061498965328
B.1.404,495,0.011872109321260718
B.1.36.39,486,0.011656252788146885
B.1.1.28,486,0.011656252788146885
AY.83,480,0.011512348432737666
B.1.258.3,476,0.011416412195798186
B.1.36.27,475,0.011392428136563314
B.1.305,474,0.011368444077328444
C.35,470,0.011272507840388964
B.1.1.214,463,0.011104619425744873
B.1.351.3,462,0.011080635366510003
B.1.396,451,0.010816810714926432
B.1.280,447,0.01072087447798695
AY.30,447,0.01072087447798695
B.1.1.312,444,0.01064892230028234
Q.1,441,0.010576970122577729
AY.24,430,0.01031314547099416
B.1.1.277,406,0.009737528049357276
B.1.570,404,0.009689559930887536
B.1.617,404,0.009689559930887536
AY.73,403,0.009665575871652664
B.1.13,403,0.009665575871652664
B.1.265,400,0.009593623693948054
B.1.160.14,397,0.009521671516243444
B.1.1.432,395,0.009473703397773703
B.39,391,0.009377767160834223
B.1.214,386,0.009257846864659872
B.1.416.1,386,0.009257846864659872
B.1.346,386,0.009257846864659872
B.1.235,381,0.009137926568485522
AY.4.11,381,0.009137926568485522
B.1.36.16,380,0.009113942509250652
B.1.1.253,372,0.00892207003537169
AY.33.2,371,0.00889808597613682
B.1.1.303,369,0.008850117857667079
B.1.1.228,366,0.008778165679962471
B.1.177.63,364,0.00873019756149273
AY.53,362,0.00868222944302299
AY.94,362,0.00868222944302299
B.1.221.1,361,0.00865824538378812
B.1.142,356,0.008538325087613768
B.1.1.255,354,0.008490356969144028
AY.71,351,0.008418404791439418
B.1.503,350,0.008394420732204547
B.1.399,349,0.008370436672969678
A.23.1,349,0.008370436672969678
B.1.160.26,344,0.008250516376795327
B.1.177.55,343,0.008226532317560457
B.1.177.48,342,0.008202548258325587
B.1.1.286,341,0.008178564199090715
B.1.36.1,337,0.008082627962151236
B.1.1.142,331,0.007938723606742014
AY.77,329,0.007890755488272274
B.1.1.170,325,0.0077948192513327946
B.1.1.4,325,0.0077948192513327946
B.1.1.44,323,0.007746851132863055
B.1.1.33,322,0.007722867073628184
AY.39.2,321,0.007698883014393313
AY.43.3,318,0.007626930836688703
B.1.177.82,311,0.007459042422044613
B.1.1.486,309,0.007411074303574871
B.1.403,301,0.007219201829695911
B.1.610,298,0.0071472496519913
B.1.177.26,297,0.007123265592756431
B.1.36.9,296,0.00709928153352156
AY.3.4,296,0.00709928153352156
B.1.289,296,0.00709928153352156
B.1.258.4,294,0.00705131341505182
B.1.177.23,289,0.00693139311887747
B.1.384,288,0.006907409059642599
AY.4.13,287,0.00688342500040773
B.1.22,285,0.006835456881937989
B.1.1.232,284,0.006811472822703119
B.1.576,283,0.006787488763468248
B.23,280,0.006715536585763638
B.1.201,275,0.006595616289589288
B.1.1.217,272,0.006523664111884677
B.1.3,271,0.006499680052649806
B.1.471,269,0.006451711934180066
B.1.1.192,267,0.0064037438157103265
B.31,266,0.0063797597564754565
B.1.351.2,265,0.006355775697240586
Z.1,263,0.006307807578770846
B.1.1.284,262,0.006283823519535975
B.1.36.8,259,0.006211871341831364
B.1.177.75,258,0.006187887282596495
B.1.1.529,258,0.006187887282596495
B.1.425,254,0.006091951045657015
B.6,253,0.006067966986422145
B.1.1.83,252,0.006043982927187275
B.1.236,252,0.006043982927187275
B.1.223,252,0.006043982927187275
B.1.453,251,0.006019998867952405
B.1.315,250,0.005996014808717534
B.1.433,250,0.005996014808717534
AY.99,249,0.005972030749482664
B.1.1.153,248,0.005948046690247793
B.28,243,0.005828126394073443
B.1.1.220,242,0.005804142334838573
AY.122.6,241,0.005780158275603703
B.1.416,241,0.005780158275603703
AY.61,239,0.005732190157133963
B.1.177.52,239,0.005732190157133963
AY.27,239,0.005732190157133963
B.1.1.240,238,0.005708206097899093
B.1.1.171,238,0.005708206097899093
B.1.1.186,237,0.005684222038664222
B.1.1.67,236,0.005660237979429352
AY.56,232,0.0055643017424898715
B.1.337,231,0.0055403176832550015
AY.5.5,231,0.0055403176832550015
B.1.413,231,0.0055403176832550015
A.2.2,230,0.005516333624020131
B.1.356,230,0.005516333624020131
B.1.1.227,229,0.005492349564785261
B.1.160.23,228,0.005468365505550391
B.1.160.33,228,0.005468365505550391
B.1.177.77,228,0.005468365505550391
B.1.1.74,227,0.005444381446315521
B.1.104,227,0.005444381446315521
B.1.1.219,226,0.005420397387080651
B.1.1.189,225,0.00539641332784578
B.1.1.304,223,0.00534844520937604
B.1.1.241,223,0.00534844520937604
B.1.516,220,0.00527649303167143
B.29,220,0.00527649303167143
B.1.8,220,0.00527649303167143
A.3,219,0.00525250897243656
B.1.1.8,216,0.00518055679473195
B.1.1.135,214,0.005132588676262209
B.1.1.362,214,0.005132588676262209
B.45,212,0.005084620557792468
B.1.177.2,211,0.005060636498557598
B.1.177.60,210,0.005036652439322728
B.1.523,206,0.004940716202383248
B.1.363,206,0.004940716202383248
B.1.36.2,203,0.004868764024678638
B.1.558,203,0.004868764024678638
B.1.160.32,202,0.004844779965443768
B.1.298,202,0.004844779965443768
W.3,201,0.004820795906208898
B.1.1.385,196,0.0047008756100345465
AY.43.1,195,0.0046768915507996766
AY.99.1,194,0.004652907491564806
B.1.160.29,194,0.004652907491564806
B.1.336,193,0.004628923432329936
AY.17,193,0.004628923432329936
B.1.110,192,0.004604939373095066
B.1.1.26,192,0.004604939373095066
B.1.366,191,0.004580955313860196
A.2,189,0.004532987195390456
B.1.206,188,0.004509003136155585
AY.46.3,187,0.004485019076920715
B.1.1.196,185,0.004437050958450975
B.1.401,184,0.004413066899216105
B.1.160.15,184,0.004413066899216105
B.1.301,184,0.004413066899216105
B.1.332,182,0.004365098780746365
B.1.1.164,182,0.004365098780746365
B.1.362.2,181,0.004341114721511495
B.1.612,181,0.004341114721511495
B.1.465,181,0.004341114721511495
B.1.1.297,180,0.004317130662276625
B.1.1.237,180,0.004317130662276625
B.1.1.363,179,0.004293146603041754
B.1.319,178,0.004269162543806884
AY.91.1,178,0.004269162543806884
A.2.3,177,0.004245178484572014
AY.122.1,177,0.004245178484572014
B.1.160.11,176,0.004221194425337143
B.1.111,175,0.004197210366102273
B.1.1.138,174,0.004173226306867403
B.1.443,173,0.0041492422476325334
B.1.1.365,173,0.0041492422476325334
AY.43.2,172,0.0041252581883976635
B.1.567,169,0.004053306010693053
AY.72,167,0.004005337892223313
AY.78,167,0.004005337892223313
B.1.1.294,167,0.004005337892223313
B.1.1.59,166,0.003981353832988443
B.4,165,0.003957369773753573
B.1.1.309,164,0.003933385714518702
B.1.252,164,0.003933385714518702
B.1.1.368,163,0.003909401655283832
B.1.532,162,0.003885417596048962
AY.108,162,0.003885417596048962
AY.49,162,0.003885417596048962
B.1.225,160,0.003837449477579222
B.1.112,159,0.0038134654183443516
B.1.1.194,159,0.0038134654183443516
B.1.382,159,0.0038134654183443516
AY.23.2,159,0.0038134654183443516
B.1.177.84,158,0.0037894813591094817
B.1.549,157,0.003765497299874611
B.1.595.4,157,0.003765497299874611
B.1.1.113,156,0.003741513240639741
B.1.160.12,154,0.003693545122170001
B.1.229,154,0.003693545122170001
B.1.605,152,0.003645577003700261
D.3,151,0.0036215929444653903
B.1.9.4,150,0.0035976088852305204
N.5,150,0.0035976088852305204
B.1.1.453,150,0.0035976088852305204
B.1.1.174,147,0.00352565670752591
B.1.448,146,0.00350167264829104
B.1.421,145,0.0034776885890561693
B.1.91,144,0.0034537045298212994
B.1.35,144,0.0034537045298212994
AY.112.2,143,0.0034297204705864295
B.1.492,143,0.0034297204705864295
B.1.199,140,0.003357768292881819
B.1.306,140,0.003357768292881819
B.1.120,138,0.0033098001744120784
B.1.340,137,0.0032858161151772085
B.1.1.231,137,0.0032858161151772085
B.1.377,135,0.0032378479967074686
AY.103.1,135,0.0032378479967074686
B.1.1.3,135,0.0032378479967074686
B.1.1.41,134,0.0032138639374725986
B.1.323,134,0.0032138639374725986
B.1.599,133,0.0031898798782377283
AY.43.7,133,0.0031898798782377283
B.1.1.89,133,0.0031898798782377283
AY.95,133,0.0031898798782377283
B.1.1.225,132,0.003165895819002858
AA.2,132,0.003165895819002858
C.16,131,0.0031419117597679875
B.1.221.2,131,0.0031419117597679875
B.1.23,130,0.0031179277005331176
B.1.397,130,0.0031179277005331176
