Pangolin,Count,Percentage
XBB.1.5.86,186,0.002080941229856405
XBB.1.5.27,185,0.002069753373781908
B.1.1.196,185,0.002069753373781908
B.1.301,185,0.002069753373781908
MC.44,185,0.002069753373781908
DQ.1,185,0.002069753373781908
BA.5.6.3,185,0.002069753373781908
GS.1,185,0.002069753373781908
BQ.1.1.17,184,0.0020585655177074113
XBB.1.16.13,184,0.0020585655177074113
B.1.332,184,0.0020585655177074113
B.1.1.164,184,0.0020585655177074113
XBF.4,184,0.0020585655177074113
BA.5.2.30,183,0.0020473776616329147
MU.1,183,0.0020473776616329147
BA.5.2.62,182,0.002036189805558418
HS.1,182,0.002036189805558418
B.1.612,182,0.002036189805558418
B.1.362.2,182,0.002036189805558418
B.1.36.28,182,0.002036189805558418
BF.9,181,0.002025001949483921
BF.7.26,181,0.002025001949483921
B.1.465,181,0.002025001949483921
EG.10.1,181,0.002025001949483921
B.1.319,180,0.0020138140934094243
B.1.1.237,180,0.0020138140934094243
AY.91.1,180,0.0020138140934094243
KP.3.2.2,180,0.0020138140934094243
LB.1.2.2,180,0.0020138140934094243
GR.1,180,0.0020138140934094243
B.1.160.11,179,0.0020026262373349273
B.1.631,179,0.0020026262373349273
FY.3.1,179,0.0020026262373349273
B.4,179,0.0020026262373349273
BF.5.5,179,0.0020026262373349273
B.1.1.363,179,0.0020026262373349273
AY.43.2,178,0.0019914383812604302
BA.5.2.48,178,0.0019914383812604302
MC.45,178,0.0019914383812604302
BN.1.4.1,178,0.0019914383812604302
A.2.3,178,0.0019914383812604302
JN.1.18.3,178,0.0019914383812604302
BQ.1.1.26,178,0.0019914383812604302
XBB.1.5.39,178,0.0019914383812604302
EC.1.1,177,0.0019802505251859336
B.1.567,177,0.0019802505251859336
XBF.3,177,0.0019802505251859336
EF.1.2,177,0.0019802505251859336
HV.1.5,177,0.0019802505251859336
JN.1.3,176,0.001969062669111437
B.1.443,175,0.0019578748130369404
B.1.597,175,0.0019578748130369404
BN.1.3.7,175,0.0019578748130369404
GJ.4,174,0.0019466869569624433
B.1.1.138,174,0.0019466869569624433
B.1.408,174,0.0019466869569624433
BN.1.3.5,174,0.0019466869569624433
B.1.1.365,173,0.0019354991008879465
BQ.1.10.2,173,0.0019354991008879465
BA.5.2.37,172,0.0019243112448134498
EG.5.1.7,172,0.0019243112448134498
AY.78,172,0.0019243112448134498
MC.10,172,0.0019243112448134498
BA.2.64,172,0.0019243112448134498
BQ.1.26,171,0.0019131233887389528
B.1.9.4,171,0.0019131233887389528
EG.5.1.5,170,0.0019019355326644562
BR.1.2,169,0.0018907476765899593
BQ.1.31,169,0.0018907476765899593
BN.1.1,169,0.0018907476765899593
B.1.1.59,168,0.0018795598205154627
CH.1.1.18,168,0.0018795598205154627
XAY.2.3,168,0.0018795598205154627
B.1.1.523,168,0.0018795598205154627
BA.5.12,168,0.0018795598205154627
EB.1,168,0.0018795598205154627
FY.5.5.1,167,0.0018683719644409656
FY.3.2,167,0.0018683719644409656
BF.12,167,0.0018683719644409656
AY.23.2,166,0.001857184108366469
XBB.1.19.1,166,0.001857184108366469
DY.1,166,0.001857184108366469
LB.1.8,166,0.001857184108366469
JN.1.38.1,166,0.001857184108366469
B.1.1.309,166,0.001857184108366469
AY.49,165,0.0018459962522919722
BQ.1.9,165,0.0018459962522919722
B.1.382,165,0.0018459962522919722
B.1.599,165,0.0018459962522919722
B.1.252,164,0.0018348083962174751
LF.1.1.1,164,0.0018348083962174751
FY.4.1,164,0.0018348083962174751
GD.1,164,0.0018348083962174751
B.1.532,163,0.0018236205401429785
XBB.1.5.60,163,0.0018236205401429785
B.1.377,162,0.0018124326840684819
EG.1.2,162,0.0018124326840684819
GF.1,161,0.001801244827993985
B.1.549,161,0.001801244827993985
B.1.605,161,0.001801244827993985
XBB.1.16.17,161,0.001801244827993985
BF.11.3,161,0.001801244827993985
B.1.112,160,0.001790056971919488
B.1.225,160,0.001790056971919488
B.1.1.194,160,0.001790056971919488
B.1.1.174,159,0.0017788691158449913
BA.5.1.28,159,0.0017788691158449913
BA.5.6.1,159,0.0017788691158449913
KB.1,159,0.0017788691158449913
FD.1,159,0.0017788691158449913
JN.4,159,0.0017788691158449913
B.1.1.306,158,0.0017676812597704947
ED.3,158,0.0017676812597704947
B.1.177.84,158,0.0017676812597704947
XBB.1.5.26,158,0.0017676812597704947
BE.4.1.1,158,0.0017676812597704947
XBD,158,0.0017676812597704947
BF.7.8,157,0.0017564934036959979
B.1.595.4,157,0.0017564934036959979
DB.1,157,0.0017564934036959979
AY.112.2,157,0.0017564934036959979
FT.3.1.1,157,0.0017564934036959979
B.1.160.12,157,0.0017564934036959979
XAY.2.1,156,0.0017453055476215008
DE.1,156,0.0017453055476215008
HK.7,156,0.0017453055476215008
B.1.1.113,156,0.0017453055476215008
B.1.36.24,155,0.0017341176915470042
XBB.1.16.5,155,0.0017341176915470042
XDR,155,0.0017341176915470042
GA.4.1,155,0.0017341176915470042
B.1.229,155,0.0017341176915470042
BF.22,155,0.0017341176915470042
XBB.1.5.25,154,0.0017229298354725074
XBB.2.3.5,154,0.0017229298354725074
BA.2.11,154,0.0017229298354725074
LF.3.1,154,0.0017229298354725074
JN.1.50,154,0.0017229298354725074
XBB.1.41.1,153,0.0017117419793980105
B.1.340,153,0.0017117419793980105
ER.1.1,153,0.0017117419793980105
FJ.1,153,0.0017117419793980105
B.1.397,152,0.0017005541233235137
BA.1.21.1,152,0.0017005541233235137
